city,date,Multi-source,DomesticAviation,GroundTransportation,day
开封市,20200207,531123.7916196593,1106.1234213848386,22999.50066636336,38
开封市,20200208,507122.93627732544,1200.134620518032,22713.19278439621,39
开封市,20200209,478313.5363685743,1577.48025288331,20140.148352208445,40
开封市,20200210,482088.7645335096,983.8655013172704,23613.793131963503,41
开封市,20200211,470005.2491839096,722.6659254255735,22723.46296889257,42
开封市,20200212,459597.7752530807,683.8886287042607,22305.638214195005,43
开封市,20200213,449041.07820796553,579.6152802257571,23503.06049536036,44
开封市,20200214,482820.9926602132,674.5349996229216,30334.976255013105,45
开封市,20200215,504396.69212397054,723.3060192479169,26407.044015887364,46
开封市,20200216,508987.5969740078,854.8762720211889,21738.424673284368,47
开封市,20200217,516250.3996181,647.238095328153,29107.56150278828,48
开封市,20200218,506821.1434582974,627.3951868355109,26134.61953624132,49
开封市,20200219,514726.4551709377,754.1337636594823,24927.77670599369,50
开封市,20200220,492818.9725403896,725.5153753443919,25710.12183783101,51
开封市,20200221,491889.04722109536,895.0989418897286,28207.03199345388,52
开封市,20200222,485068.2823843233,875.1940888336342,22040.707367823365,53
开封市,20200223,454350.6651195977,1106.598329704642,19808.7100314786,54
开封市,20200224,489354.06437033,1021.4245549573492,35257.873545855204,55
开封市,20200225,503649.33592309314,1048.7421074399354,31806.836902888128,56
开封市,20200226,520583.3469269996,1202.6949958074051,32421.879732330533,57
开封市,20200227,524587.4855291278,1188.8607099696635,32441.69021572445,58
开封市,20200228,541173.7171750087,1377.275423804583,35822.515986474464,59
开封市,20200229,529463.5903466976,1377.0895901142248,25273.60316538091,60
齐齐哈尔市,20200201,607030.7631852222,747.8741159162041,26180.68367894595,32
齐齐哈尔市,20200202,614384.9158796511,741.6155678002976,27861.004990232857,33
齐齐哈尔市,20200203,611808.6454518266,535.9072087688976,30799.335639878183,34
齐齐哈尔市,20200204,615158.5786668514,438.8952361854277,28097.442371909496,35
齐齐哈尔市,20200205,633779.2449040748,457.2500625625494,36686.380937724505,36
齐齐哈尔市,20200206,651438.654671519,428.8403727603021,38753.45770396755,37
齐齐哈尔市,20200207,636206.5147253454,479.6429507426377,33539.99057586766,38
齐齐哈尔市,20200208,607039.9422794562,520.4085724475328,33122.470047823386,39
齐齐哈尔市,20200209,572085.0710888417,684.0351344191906,29370.219629053227,40
齐齐哈尔市,20200210,579503.5775309241,426.6288400212048,34435.80843756531,41
齐齐哈尔市,20200211,565653.8182242366,313.36613091360056,33137.44697694098,42
齐齐哈尔市,20200212,553744.3830258723,296.5513192373885,32528.136429803068,43
齐齐哈尔市,20200213,541793.4016180352,251.3357713327718,34274.327906227416,44
齐齐哈尔市,20200214,581963.8657889486,292.4953502867369,44237.25682011443,45
齐齐哈尔市,20200215,603310.2672726146,313.643691702718,38509.1841895813,46
齐齐哈尔市,20200216,607272.8525996265,370.6958642271175,31700.97339297809,47
齐齐哈尔市,20200217,619492.8074611442,280.658725666954,42447.32755949752,48
齐齐哈尔市,20200218,609022.0590640984,272.054341204313,38111.90971773474,49
齐齐哈尔市,20200219,619172.7625317408,327.01137744956804,36351.980328821664,50
齐齐哈尔市,20200220,593563.953718622,314.6017241038653,37492.8680693662,51
齐齐哈尔市,20200221,593110.0097156101,388.1374260723045,41134.09247259238,52
齐齐哈尔市,20200222,583364.514418844,379.506180888136,32141.78986430755,53
齐齐哈尔市,20200223,547088.4186885444,479.8488829410152,28886.885737808432,54
齐齐哈尔市,20200224,594215.2317087924,442.9153908407095,51416.27914481587,55
